n_estimators,max_depth,min_samples_split,val_rmse,val_mae,val_r2
100,10.0,2,5.516406569364946,3.9570819386797624,0.5863595452582684
100,10.0,5,5.52996579487162,3.968429093100901,0.5843236049750894
100,10.0,10,5.531412782373201,3.9766810777594337,0.5841060422403593
100,20.0,2,5.577209466094461,4.033940051030188,0.5771908429252033
100,20.0,5,5.55299114558796,4.0261428073929295,0.5808548599881305
100,20.0,10,5.5754424425324975,4.044020566910049,0.577458717170749
100,,2,5.553633206718708,4.026762628117032,0.5807579275948603
100,,5,5.5698480652867275,4.033018197071728,0.5783062443117027
100,,10,5.582573318715952,4.049233368590126,0.5763771827665768
200,10.0,2,5.49173561751656,3.945288449405431,0.5900511093174792
200,10.0,5,5.512187910445819,3.966289868949044,0.5869919644704491
200,10.0,10,5.5210673786333455,3.9827220028586567,0.5856602807346782
200,20.0,2,5.573935118192801,4.047109605946697,0.5776871548858287
200,20.0,5,5.574684919362826,4.049231429759188,0.5775735288903832
200,20.0,10,5.578261171930511,4.0546543827771755,0.577031367909254
200,,2,5.557465374626702,4.024800470308062,0.5801791496100379
200,,5,5.582920352834972,4.049040386345287,0.5763245130989585
200,,10,5.579711526616182,4.057506609987041,0.5768113945992932
300,10.0,2,5.506232210735927,3.9694442578461318,0.5878839598252278
300,10.0,5,5.525587312847563,3.9847728247171754,0.584981587741801
300,10.0,10,5.534532120491251,3.9908722229274067,0.5836368385397257
300,20.0,2,5.582513878024547,4.058887944804233,0.5763862038031702
300,20.0,5,5.590264272065698,4.070031034925742,0.5752091523942244
300,20.0,10,5.590367741086408,4.0660545646703925,0.5751934275205424
300,,2,5.569093561459563,4.042522873865331,0.5784204836944853
300,,5,5.594205486732589,4.07232990587171,0.574609974251002
300,,10,5.585073413683188,4.060216816056094,0.575997668028297
